Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"Double Sculls, Women",Romania,ROU,Netherlands,NED,Canada,CAN,1984,Rowing,,,,,
"Coxless Pairs, Women",Romania,ROU,Canada,CAN,West Germany,FRG,1984,Rowing,,,,,
"Coxed Fours, Women",Romania,ROU,Canada,CAN,Australia,AUS,1984,Rowing,,,,,
"Coxed Quadruple Sculls, Women",Romania,ROU,United States,USA,Denmark,DEN,1984,Rowing,,,,,
"Eights, Women",United States,USA,Romania,ROU,Netherlands,NED,1984,Rowing,,,,,
"Windsurfer (Windsurfer), Men",,,,,,,1984,Sailing,,Olympic (non-medal),10 â 11 August 1984,16,7
"Windsurfer (Windsurfer), Women",,,,,,,1984,Sailing,,Olympic (non-medal),10 â 11 August 1984,16,8
,,,,,,,1984,Sailing,,,,32 (16/16),10 (7/8)
"Rapid-Fire Pistol, 25 metres, Men",Takeo Kamachi,JPN,Corneliu Ion,ROU,Rauno Bies,FIN,1984,Shooting,,,,,
"Free Pistol, 50 metres, Men",Xu Haifeng,CHN,Ragnar SkanÃ¥ker,SWE,Wang Yifu,CHN,1984,Shooting,,,,,
"Air Rifle, 10 metres, Men",Philippe HÃ©bÃ©rle,FRA,Andreas Kronthaler,AUT,Barry Dagger,GBR,1984,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Men",Malcolm Cooper,GBR,Daniel Nipkow,SUI,Alister Allan,GBR,1984,Shooting,,,,,
"Small-Bore Rifle, Prone, 50 metres, Men",Ed Etzel,USA,Michel Bury,FRA,Michael Sullivan,GBR,1984,Shooting,,,,,
"Running Target, 50 metres, Men",Li Yuwei,CHN,Helmut Bellingrodt,COL,Huang Shiping,CHN,1984,Shooting,,,,,
"Trap, Open",Luciano Giovannetti,ITA,Francisco Boza,PER,Dan Carlisle,USA,1984,Shooting,,,,,
"Skeet, Open",Matt Dryke,USA,Ole Riber Rasmussen,DEN,Luca Scribani Rossi,ITA,1984,Shooting,,,,,
"Sporting Pistol, 25 metres, Women",Linda Thom,CAN,Ruby Fox,USA,Patricia Dench,AUS,1984,Shooting,,,,,
"Air Rifle, 10 metres, Women",Pat Spurgin,USA,Edith Gufler,ITA,Wu Xiaoxuan,CHN,1984,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Women",Wu Xiaoxuan,CHN,Ulrike Holmer,FRG,Wanda Jewell,USA,1984,Shooting,,,,,
"100 metres Freestyle, Men",Rowdy Gaines,USA,Mark Stockwell,AUS,Per Johansson,SWE,1984,Swimming,,,,,
"200 metres Freestyle, Men",Michael GroÃ,FRG,Mike Heath,USA,Thomas Fahrner,FRG,1984,Swimming,,,,,
"400 metres Freestyle, Men",George DiCarlo,USA,John Mykkanen,USA,Justin Lemberg,AUS,1984,Swimming,,,,,
"1,500 metres Freestyle, Men",Mike O'Brien,USA,George DiCarlo,USA,Stefan Pfeiffer,FRG,1984,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Men",United States,USA,Australia,AUS,Sweden,SWE,1984,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,West Germany,FRG,Great Britain,GBR,1984,Swimming,,,,,
"100 metres Backstroke, Men",Rick Carey,USA,Dave Wilson,USA,Mike West,CAN,1984,Swimming,,,,,
"200 metres Backstroke, Men",Rick Carey,USA,FrÃ©dÃ©ric Delcourt,FRA,Cam Henning,CAN,1984,Swimming,,,,,
"100 metres Breaststroke, Men",Steve Lundquist,USA,Victor Davis,CAN,Peter Evans,AUS,1984,Swimming,,,,,
"200 metres Breaststroke, Men",Victor Davis,CAN,Glenn Beringen,AUS,Ãtienne Dagon,SUI,1984,Swimming,,,,,
"100 metres Butterfly, Men",Michael GroÃ,FRG,Pablo Morales,USA,Glenn Buchanan,AUS,1984,Swimming,,,,,
"200 metres Butterfly, Men",Jon Sieben,AUS,Michael GroÃ,FRG,Rafael Vidal,VEN,1984,Swimming,,,,,
"200 metres Individual Medley, Men",Alex Baumann,CAN,Pablo Morales,USA,Neil Cochran,GBR,1984,Swimming,,,,,
"400 metres Individual Medley, Men",Alex Baumann,CAN,Ricardo Prado,BRA,Rob Woodhouse,AUS,1984,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Men",United States,USA,Canada,CAN,Australia,AUS,1984,Swimming,,,,,
"100 metres Freestyle, Women",Nancy HogsheadCarrie Steinseifer,USAUSA,â,â,Annemarie Verstappen,NED,1984,Swimming,,,,,
"200 metres Freestyle, Women",Mary Wayte,USA,Sippy Woodhead,USA,Annemarie Verstappen,NED,1984,Swimming,,,,,
"400 metres Freestyle, Women",Tiffany Cohen,USA,Sarah Hardcastle,GBR,June Croft,GBR,1984,Swimming,,,,,
"800 metres Freestyle, Women",Tiffany Cohen,USA,Michelle Richardson,USA,Sarah Hardcastle,GBR,1984,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Women",United States,USA,Netherlands,NED,West Germany,FRG,1984,Swimming,,,,,
"100 metres Backstroke, Women",Theresa Andrews,USA,Betsy Mitchell,USA,Jolanda de Rover,NED,1984,Swimming,,,,,
"200 metres Backstroke, Women",Jolanda de Rover,NED,Amy White,USA,Anca PÄtrÄÈcoiu,ROU,1984,Swimming,,,,,
"100 metres Breaststroke, Women",Petra van Staveren,NED,Anne Ottenbrite,CAN,Catherine Poirot,FRA,1984,Swimming,,,,,
"200 metres Breaststroke, Women",Anne Ottenbrite,CAN,Susan Rapp,USA,Ingrid Lempereur,BEL,1984,Swimming,,,,,
"100 metres Butterfly, Women",Mary T. Meagher,USA,Jenna Johnson,USA,Karin Seick,FRG,1984,Swimming,,,,,
"200 metres Butterfly, Women",Mary T. Meagher,USA,Karen Phillips,AUS,Ina Beyermann,FRG,1984,Swimming,,,,,
"200 metres Individual Medley, Women",Tracy Caulkins,USA,Nancy Hogshead,USA,Michele Pearson,AUS,1984,Swimming,,,,,
"400 metres Individual Medley, Women",Tracy Caulkins,USA,Suzie Landells,AUS,Petra Zindler,FRG,1984,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Women",United States,USA,West Germany,FRG,Canada,CAN,1984,Swimming,,,,,
"Volleyball, Men",United States,USA,Brazil,BRA,Italy,ITA,1984,Volleyball,,,,,
"Volleyball, Women",People's Republic of China,CHN,United States,USA,Japan,JPN,1984,Volleyball,,,,,
"Water Polo, Men",Yugoslavia,YUG,United States,USA,West Germany,FRG,1984,Water Polo,,,,,
"Flyweight, Men",Zeng Guoqiang,CHN,Zhou Peishun,CHN,Kazushito Manabe,JPN,1984,Weightlifting,,,,,
"Bantamweight, Men",Wu Shude,CHN,Lai Runming,CHN,Masahiro Kotaka,JPN,1984,Weightlifting,,,,,
"Featherweight, Men",Chen Weiqiang,CHN,Gelu Radu,ROU,Tsai Wen-Yee,TPE,1984,Weightlifting,,,,,
"Lightweight, Men",Yao Jingyuan,CHN,Andrei Socaci,ROU,Jouni GrÃ¶nman,FIN,1984,Weightlifting,,,,,
"Middleweight, Men",Karl-Heinz Radschinsky,FRG,Jacques Demers,CAN,Dragomir Cioroslan,ROU,1984,Weightlifting,,,,,
"Light-Heavyweight, Men",Petre Becheru,ROU,Robert Kabbas,AUS,Ryoji Isaoka,JPN,1984,Weightlifting,,,,,
"Middle-Heavyweight, Men",Nicu Vlad,ROU,Petre Dumitru,ROU,David Mercer,GBR,1984,Weightlifting,,,,,
"Heavyweight I, Men",Rolf Milser,FRG,Vasile GroapÄ,ROU,Pekka Niemi,FIN,1984,Weightlifting,,,,,
"Heavyweight II, Men",Norberto Oberburger,ITA,Ètefan TaÈnadi,ROU,Guy Carlton,USA,1984,Weightlifting,,,,,
"Super-Heavyweight, Men",Dean Lukin,AUS,Mario Martinez,USA,Manfred Nerlinger,FRG,1984,Weightlifting,,,,,
"Light-Flyweight, Greco-Roman, Men",Vincenzo Maenza,ITA,Markus Scherer,FRG,Ikuzo Saito,JPN,1984,Wrestling,,,,,
"Flyweight, Greco-Roman, Men",Atsuji Miyahara,JPN,Daniel Aceves,MEX,Bang Dae-Du,KOR,1984,Wrestling,,,,,
"Bantamweight, Greco-Roman, Men",Pasquale Passarelli,FRG,Masaki Eto,JPN,Babis Kholidis,GRE,1984,Wrestling,,,,,
"Featherweight, Greco-Roman, Men",Kim Won-Gi,KOR,Kent-Olle Johansson,SWE,Hugo Dietsche,SUI,1984,Wrestling,,,,,
"Lightweight, Greco-Roman, Men",Vlado Lisjak,YUG,Tapio SipilÃ¤,FIN,Jim Martinez,USA,1984,Wrestling,,,,,
"Welterweight, Greco-Roman, Men",Jouko SalomÃ¤ki,FIN,Roger Tallroth,SWE,Ètefan Rusu,ROU,1984,Wrestling,,,,,
"Middleweight, Greco-Roman, Men",Ion Draica,ROU,Dimitrios Thanopoulos,GRE,SÃ¶ren Claeson,SWE,1984,Wrestling,,,,,
"Light-Heavyweight, Greco-Roman, Men",Steve Fraser,USA,Ilie Matei,ROU,Frank Andersson,SWE,1984,Wrestling,,,,,
"Heavyweight, Greco-Roman, Men",Vasile Andrei,ROU,Greg Gibson,USA,JoÅ¾ef Tertei,YUG,1984,Wrestling,,,,,
"Super-Heavyweight, Greco-Roman, Men",Jeff Blatnick,USA,Refik MemiÅ¡eviÄ,YUG,Victor Dolipschi,ROU,1984,Wrestling,,,,,
"Light-Flyweight, Freestyle, Men",Bobby Weaver,USA,Takashi Irie,JPN,Son Gap-Do,KOR,1984,Wrestling,,,,,
"Flyweight, Freestyle, Men",Å aban Trstena,YUG,Kim Jong-Gyu,KOR,Yuji Takada,JPN,1984,Wrestling,,,,,
"Bantamweight, Freestyle, Men",Hideaki Tomiyama,JPN,Barry Davis,USA,Kim Ui-Gon,KOR,1984,Wrestling,,,,,
"Featherweight, Freestyle, Men",Randy Lewis,USA,Kosei Akaishi,JPN,Lee Jeong-Geun,KOR,1984,Wrestling,,,,,
"Lightweight, Freestyle, Men",Yu In-Tak,KOR,Andrew Rein,USA,Jukka Rauhala,FIN,1984,Wrestling,,,,,
"Welterweight, Freestyle, Men",Dave Schultz,USA,Martin Knosp,FRG,Å aban Sejdi,YUG,1984,Wrestling,,,,,
"Middleweight, Freestyle, Men",Mark Schultz,USA,Hideyuki Nagashima,JPN,Chris Rinke,CAN,1984,Wrestling,,,,,
"Light-Heavyweight, Freestyle, Men",Ed Banach,USA,Akira Ota,JPN,Noel Loban,GBR,1984,Wrestling,,,,,
"Heavyweight, Freestyle, Men",Lou Banach,USA,Joseph Atiyeh,SYR,Vasile PuÈcaÈu,ROU,1984,Wrestling,,,,,
"Super-Heavyweight, Freestyle, Men",Bruce Baumgartner,USA,Bob Molle,CAN,Ayhan TaÅkÄ±n,TUR,1984,Wrestling,,,,,
"Individual, Men",Jay Barrs,USA,Park Seong-Su,KOR,Vladimir Yesheyev,URS,1988,Archery,,,,,
"Team, Men",Republic of Korea,KOR,United States,USA,Great Britain,GBR,1988,Archery,,,,,
"Individual, Women",Kim Su-Nyeong,KOR,Wang Hui-Gyeong,KOR,Yun Yeong-Suk,KOR,1988,Archery,,,,,
"Team, Women",Republic of Korea,KOR,Indonesia,INA,United States,USA,1988,Archery,,,,,
"Individual All-Around, Men",Vladimir Artyomov,URS,Valery Lyukin,URS,Dmitry Bilozerchev,URS,1988,Artistic Gymnastics,,,,,
"Team All-Around, Men",Soviet Union,URS,East Germany,GDR,Japan,JPN,1988,Artistic Gymnastics,,,,,
"Floor Exercise, Men",Sergey Kharkov,URS,Vladimir Artyomov,URS,Lou YunYukio Iketani,CHNJPN,1988,Artistic Gymnastics,,,,,
"Horse Vault, Men",Lou Yun,CHN,Sylvio Kroll,GDR,Park Jong-Hun,KOR,1988,Artistic Gymnastics,,,,,
"Parallel Bars, Men",Vladimir Artyomov,URS,Valery Lyukin,URS,Sven Tippelt,GDR,1988,Artistic Gymnastics,,,,,
"Horizontal Bar, Men",Vladimir ArtyomovValery Lyukin,URSURS,â,â,Holger BehrendtMarius Gherman,GDRROU,1988,Artistic Gymnastics,,,,,
"Rings, Men",Holger BehrendtDmitry Bilozerchev,GDRURS,â,â,Sven Tippelt,GDR,1988,Artistic Gymnastics,,,,,
"Pommelled Horse, Men",Lyubomir GeraskovZsolt BorkaiDmitry Bilozerchev,BULHUNURS,â,â,â,â,1988,Artistic Gymnastics,,,,,
"Individual All-Around, Women",Yelena Shushunova,URS,Daniela SilivaÈ,ROU,Sviatlana Bahinskaya,URS,1988,Artistic Gymnastics,,,,,
"Team All-Around, Women",Soviet Union,URS,Romania,ROU,East Germany,GDR,1988,Artistic Gymnastics,,,,,
"Floor Exercise, Women",Daniela SilivaÈ,ROU,Sviatlana Bahinskaya,URS,Diana Dudeva,BUL,1988,Artistic Gymnastics,,,,,
"Horse Vault, Women",Sviatlana Bahinskaya,URS,Gabriela Potorac,ROU,Daniela SilivaÈ,ROU,1988,Artistic Gymnastics,,,,,
"Uneven Bars, Women",Daniela SilivaÈ,ROU,Dagmar Kersten,GDR,Yelena Shushunova,URS,1988,Artistic Gymnastics,,,,,
"Balance Beam, Women",Daniela SilivaÈ,ROU,Yelena Shushunova,URS,Phoebe MillsGabriela Potorac,USAROU,1988,Artistic Gymnastics,,,,,
"Solo, Women",Carolyn Waldo,CAN,Tracie Ruiz-Conforto,USA,Mikako Kotani,JPN,1988,Artistic Swimming,,,,,
"Duet, Women",Canada,CAN,United States,USA,Japan,JPN,1988,Artistic Swimming,,,,,
"1,500 metres Wheelchair, Men",,,,,,,1988,Athletics,,Olympic (non-medal),30-Sep-88,8,6
"800 metres Wheelchair, Women",,,,,,,1988,Athletics,,Olympic (non-medal),30-Sep-88,8,5
,,,,,,,1988,Athletics,,,,16 (8/8),9 (6/5)
"Basketball, Men",Soviet Union,URS,Yugoslavia,YUG,United States,USA,1988,Basketball,,,,,
"Basketball, Women",United States,USA,Yugoslavia,YUG,Soviet Union,URS,1988,Basketball,,,,,
"Light-Flyweight, Men",Ivaylo Khristov,BUL,Michael Carbajal,USA,RÃ³bert IsaszegiLeopoldo Serantes,HUNPHI,1988,Boxing,,,,,
"Flyweight, Men",Kim Gwang-Seon,KOR,Andreas Tews,GDR,Timofei ScriabinMario GonzÃ¡lez,URSMEX,1988,Boxing,,,,,
"Bantamweight, Men",Kennedy McKinney,USA,Aleksandar Khristov,BUL,Jorge JulioPhajol Moolsan,COLTHA,1988,Boxing,,,,,
"Featherweight, Men",Giovanni Parisi,ITA,Daniel Dumitrescu,ROU,Abdel Hak AchikLee Jae-Hyeok,MARKOR,1988,Boxing,,,,,
"Lightweight, Men",Andreas ZÃ¼low,GDR,George Cramne,SWE,Romallis EllisNergÃ¼in Enkhbat,USAMGL,1988,Boxing,,,,,
"Light-Welterweight, Men",Vyacheslav Yanovsky,URS,Grahame Cheney,AUS,Lars MyrbergReiner Gies,SWEFRG,1988,Boxing,,,,,
"Welterweight, Men",Robert Wangila,KEN,Laurent Boudouani,FRA,Jan DydakKenny Gould,POLUSA,1988,Boxing,,,,,
"Light-Middleweight, Men",Park Si-Heon,KOR,"Roy Jones, Jr.",USA,Richie WoodhallRay Downey,GBRCAN,1988,Boxing,,,,,
"Middleweight, Men",Henry Maske,GDR,Egerton Marcus,CAN,Chris SandeSyed Hussain Shah,KENPAK,1988,Boxing,,,,,
"Light-Heavyweight, Men",Andrew Maynard,USA,Nurmagomed Shanavazov,URS,Damir Å karoHenryk Petrich,YUGPOL,1988,Boxing,,,,,
"Heavyweight, Men",Ray Mercer,USA,Baek Hyeon-Man,KOR,Andrzej GoÅotaArnold Vanderlijde,POLNED,1988,Boxing,,,,,
"Super-Heavyweight, Men",Lennox Lewis,CAN,Riddick Bowe,USA,Alex MiroshnichenkoJanusz Zarenkiewicz,URSPOL,1988,Boxing,,,,,
"Kayak Singles, 500 metres, Men",Zsolt Gyulay,HUN,Andreas StÃ¤hle,GDR,Paul MacDonald,NZL,1988,Canoe Sprint,,,,,
"Kayak Singles, 1,000 metres, Men",Greg Barton,USA,Grant Davies,AUS,AndrÃ© Wohllebe,GDR,1988,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Men",New Zealand,NZL,Soviet Union,URS,Hungary,HUN,1988,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",United States,USA,New Zealand,NZL,Australia,AUS,1988,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Hungary,HUN,Soviet Union,URS,East Germany,GDR,1988,Canoe Sprint,,,,,
"Canadian Singles, 500 metres, Men",Olaf Heukrodt,GDR,Mykhailo Slivinsky,URS,Martin Marinov,BUL,1988,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",Ivans Klementjevs,URS,JÃ¶rg Schmidt,GDR,Nikolay Bukhalov,BUL,1988,Canoe Sprint,,,,,
"Canadian Doubles, 500 metres, Men",Soviet Union,URS,Poland,POL,France,FRA,1988,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Soviet Union,URS,East Germany,GDR,Poland,POL,1988,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Vanya Gesheva,BUL,Birgit Schmidt,GDR,Izabela Dylewska-Åwiatowiak,POL,1988,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",East Germany,GDR,Bulgaria,BUL,Netherlands,NED,1988,Canoe Sprint,,,,,
"Kayak Fours, 500 metres, Women",East Germany,GDR,Hungary,HUN,Bulgaria,BUL,1988,Canoe Sprint,,,,,
"Road Race, Individual, Men",Olaf Ludwig,GDR,Bernd GrÃ¶ne,FRG,Christian Henn,FRG,1988,Cycling Road,,,,,
"100 kilometres Team Time Trial, Men",East Germany,GDR,Poland,POL,Sweden,SWE,1988,Cycling Road,,,,,
"Road Race, Individual, Women",Monique Knol,NED,Jutta Niehaus,FRG,Laima ZilporytÄ,URS,1988,Cycling Road,,,,,
"Sprint, Men",Lutz HeÃlich,GDR,Nikolay Kovsh,URS,Gary Neiwand,AUS,1988,Cycling Track,,,,,
"1,000 metres Time Trial, Men",Aleksandr Kirichenko,URS,Martin Vinnicombe,AUS,Robert Lechner,FRG,1988,Cycling Track,,,,,
"Individual Pursuit, 4,000 metres, Men",Gintautas Umaras,URS,Dean Woods,AUS,Bernd Dittert,GDR,1988,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Soviet Union,URS,East Germany,GDR,Australia,AUS,1988,Cycling Track,,,,,
"Points Race, Men",Dan Frost,DEN,Leo Peelen,NED,Marat Ganeyev,URS,1988,Cycling Track,,,,,
"Sprint, Women",Erika SalumÃ¤e,URS,Christa Rothenburger,GDR,Connie Paraskevin-Young,USA,1988,Cycling Track,,,,,
"Springboard, Men",Greg Louganis,USA,Tan Liangde,CHN,Li Deliang,CHN,1988,Diving,,,,,
"Platform, Men",Greg Louganis,USA,Xiong Ni,CHN,JesÃºs Mena,MEX,1988,Diving,,,,,
"Springboard, Women",Gao Min,CHN,Li Qing,CHN,Kelly McCormick,USA,1988,Diving,,,,,
"Platform, Women",Xu Yanmei,CHN,Michele Mitchell,USA,Wendy Lian Williams,USA,1988,Diving,,,,,
"Individual, Open",Nicole Uphoff,FRG,Margit Otto-CrÃ©pin,FRA,Christine StÃ¼ckelberger,SUI,1988,Equestrian Dressage,,,,,
"Team, Open",West Germany,FRG,Switzerland,SUI,Canada,CAN,1988,Equestrian Dressage,,,,,
"Individual, Open",Mark Todd,NZL,Ian Stark,GBR,Virginia Leng,GBR,1988,Equestrian Eventing,,,,,
"Team, Open",West Germany,FRG,Great Britain,GBR,New Zealand,NZL,1988,Equestrian Eventing,,,,,
"Individual, Open","Pierre Durand, Jr.",FRA,Greg Best,USA,Karsten Huck,FRG,1988,Equestrian Jumping,,,,,
"Team, Open",West Germany,FRG,United States,USA,France,FRA,1988,Equestrian Jumping,,,,,
"Foil, Individual, Men",Stefano Cerioni,ITA,Udo Wagner,GDR,Aleksandr Romankov,URS,1988,Fencing,,,,,
"Foil, Team, Men",Soviet Union,URS,West Germany,FRG,Hungary,HUN,1988,Fencing,,,,,
"ÃpÃ©e, Individual, Men",Arnd Schmitt,FRG,Philippe Riboud,FRA,Andrey Shuvalov,URS,1988,Fencing,,,,,
"ÃpÃ©e, Team, Men",France,FRA,West Germany,FRG,Soviet Union,URS,1988,Fencing,,,,,
"Sabre, Individual, Men",Jean-FranÃ§ois Lamour,FRA,Janusz Olech,POL,Giovanni Scalzo,ITA,1988,Fencing,,,,,
"Sabre, Team, Men",Hungary,HUN,Soviet Union,URS,Italy,ITA,1988,Fencing,,,,,
"Foil, Individual, Women",Anja Fichtel,FRG,Sabine Bau,FRG,Zita Funkenhauser,FRG,1988,Fencing,,,,,
"Foil, Team, Women",West Germany,FRG,Italy,ITA,Hungary,HUN,1988,Fencing,,,,,
"Football, Men",Soviet Union,URS,Brazil,BRA,West Germany,FRG,1988,Football,,,,,
"Handball, Men",Soviet Union,URS,Republic of Korea,KOR,Yugoslavia,YUG,1988,Handball,,,,,
"Handball, Women",Republic of Korea,KOR,Norway,NOR,Soviet Union,URS,1988,Handball,,,,,
"Hockey, Men",Great Britain,GBR,West Germany,FRG,Netherlands,NED,1988,Hockey,,,,,
"Hockey, Women",Australia,AUS,Republic of Korea,KOR,Netherlands,NED,1988,Hockey,,,,,
"Extra-Lightweight (â¤48 kilograms), Women",,,,,,,1988,Judo,,Olympic (non-medal),25-Sep-88,7,7
"Half-Lightweight (â¤52 kilograms), Women",,,,,,,1988,Judo,,Olympic (non-medal),26-Sep-88,8,8
"Lightweight (â¤56 kilograms), Women",,,,,,,1988,Judo,,Olympic (non-medal),27-Sep-88,8,8
"Half-Middleweight (â¤61 kilograms), Women",,,,,,,1988,Judo,,Olympic (non-medal),28-Sep-88,8,8
"Middleweight (â¤66 kilograms), Women",,,,,,,1988,Judo,,Olympic (non-medal),29-Sep-88,8,8
"Half-Heavyweight (â¤72 kilograms), Women",,,,,,,1988,Judo,,Olympic (non-medal),30-Sep-88,7,7
"Heavyweight (>72 kilograms), Women",,,,,,,1988,Judo,,Olympic (non-medal),1-Oct-88,7,7
,,,,,,,1988,Judo,,,,53 (0/53),23 (0/23)
"Individual, Men",JÃ¡nos Martinek,HUN,Carlo Massullo,ITA,Vakho Iagorashvili,URS,1988,Modern Pentathlon,,,,,
"Team, Men",Hungary,HUN,Italy,ITA,Great Britain,GBR,1988,Modern Pentathlon,,,,,
"Individual, Women",Marina Lobach,URS,Adriana Dunavska,BUL,Aleksandra Timoshenko,URS,1988,Rhythmic Gymnastics,,,,,
"Single Sculls, Men",Thomas Lange,GDR,Peter-Michael Kolbe,FRG,Eric Verdonk,NZL,1988,Rowing,,,,,
"Double Sculls, Men",Netherlands,NED,Switzerland,SUI,Soviet Union,URS,1988,Rowing,,,,,
"Quadruple Sculls, Men",Italy,ITA,Norway,NOR,East Germany,GDR,1988,Rowing,,,,,
"Coxless Pairs, Men",Great Britain,GBR,Romania,ROU,Yugoslavia,YUG,1988,Rowing,,,,,
"Coxed Pairs, Men",Italy,ITA,East Germany,GDR,Great Britain,GBR,1988,Rowing,,,,,
"Coxless Fours, Men",East Germany,GDR,United States,USA,West Germany,FRG,1988,Rowing,,,,,
"Coxed Fours, Men",East Germany,GDR,Romania,ROU,New Zealand,NZL,1988,Rowing,,,,,
"Eights, Men",West Germany,FRG,Soviet Union,URS,United States,USA,1988,Rowing,,,,,
"Single Sculls, Women",Jutta Behrendt,GDR,Anne Marden,USA,Magdalena Georgieva,BUL,1988,Rowing,,,,,
"Double Sculls, Women",East Germany,GDR,Romania,ROU,Bulgaria,BUL,1988,Rowing,,,,,
"Quadruple Sculls, Women",East Germany,GDR,Soviet Union,URS,Romania,ROU,1988,Rowing,,,,,
"Coxless Pairs, Women",Romania,ROU,Bulgaria,BUL,New Zealand,NZL,1988,Rowing,,,,,
"Coxed Fours, Women",East Germany,GDR,People's Republic of China,CHN,Romania,ROU,1988,Rowing,,,,,
"Eights, Women",East Germany,GDR,Romania,ROU,People's Republic of China,CHN,1988,Rowing,,,,,
"Two Person Dinghy, Men",France,FRA,Soviet Union,URS,United States,USA,1988,Sailing,,,,,
"Windsurfer, Open",Bruce Kendall,NZL,Jan Boersma,AHO,Mike Gebhardt,USA,1988,Sailing,,,,,
"One Person Dinghy, Open",JosÃ© Luis Doreste,ESP,Peter Holmberg,ISV,John Cutler,NZL,1988,Sailing,,,,,
"Two Person Keelboat, Open",Great Britain,GBR,United States,USA,Brazil,BRA,1988,Sailing,,,,,
"Multihull, Open",France,FRA,New Zealand,NZL,Brazil,BRA,1988,Sailing,,,,,
"Three Person Keelboat, Open",East Germany,GDR,United States,USA,Denmark,DEN,1988,Sailing,,,,,
"Two Person Heavyweight Dinghy, Open",Denmark,DEN,Norway,NOR,Canada,CAN,1988,Sailing,,,,,
"Two Person Dinghy, Women",United States,USA,Sweden,SWE,Soviet Union,URS,1988,Sailing,,,,,
"Air Pistol, 10 metres, Men",Tanyu Kiryakov,BUL,Erich Buljung,USA,Xu Haifeng,CHN,1988,Shooting,,,,,
"Rapid-Fire Pistol, 25 metres, Men",Afanasijs Kuzmins,URS,Ralf Schumann,GDR,ZoltÃ¡n KovÃ¡cs,HUN,1988,Shooting,,,,,
"Free Pistol, 50 metres, Men",Sorin Babii,ROU,Ragnar SkanÃ¥ker,SWE,Ihar Basinski,URS,1988,Shooting,,,,,
"Air Rifle, 10 metres, Men",Goran MaksimoviÄ,YUG,Nicolas Berthelot,FRA,Hans Riederer,FRG,1988,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Men",Malcolm Cooper,GBR,Alister Allan,GBR,Kirill Ivanov,URS,1988,Shooting,,,,,
"Small-Bore Rifle, Prone, 50 metres, Men",Miroslav Varga,TCH,Cha Yeong-Cheol,KOR,Attila ZÃ¡honyi,HUN,1988,Shooting,,,,,
"Running Target, 50 metres, Men",Tor Heiestad,NOR,Huang Shiping,CHN,Hennadiy Avramenko,URS,1988,Shooting,,,,,
"Trap, Open",Dmytro Monakov,URS,Miloslav BednaÅÃ­k,TCH,Frans Peeters,BEL,1988,Shooting,,,,,
"Skeet, Open",Axel Wegner,GDR,Alfonso de IruarrÃ­zaga,CHI,Jorge Guardiola,ESP,1988,Shooting,,,,,
"Air Pistol, 10 metres, Women",Jasna Å ekariÄ,YUG,Nino Salukvadze,URS,Marina Dobrancheva,URS,1988,Shooting,,,,,
"Sporting Pistol, 25 metres, Women",Nino Salukvadze,URS,Michiko Hasegawa,JPN,Jasna Å ekariÄ,YUG,1988,Shooting,,,,,
"Air Rifle, 10 metres, Women",Iryna Shylava,URS,Silvia Sperber,FRG,Anna Malukhina,URS,1988,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Women",Silvia Sperber,FRG,Vesela Lecheva,BUL,Valentina Cherkasova,URS,1988,Shooting,,,,,
"50 metres Freestyle, Men",Matt Biondi,USA,Tom Jager,USA,Gennady Prigoda,URS,1988,Swimming,,,,,
"100 metres Freestyle, Men",Matt Biondi,USA,Chris Jacobs,USA,StÃ©phan Caron,FRA,1988,Swimming,,,,,
"200 metres Freestyle, Men",Duncan Armstrong,AUS,Anders Holmertz,SWE,Matt Biondi,USA,1988,Swimming,,,,,
"400 metres Freestyle, Men",Uwe DaÃler,GDR,Duncan Armstrong,AUS,Artur Wojdat,POL,1988,Swimming,,,,,
"1,500 metres Freestyle, Men",Vladimir Salnikov,URS,Stefan Pfeiffer,FRG,Uwe DaÃler,GDR,1988,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Men",United States,USA,Soviet Union,URS,East Germany,GDR,1988,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,East Germany,GDR,West Germany,FRG,1988,Swimming,,,,,
